,id,name,address,location,typecode,type
149,B000A7PKPE,金达盛烤肉(五里店),五里店小区南里1号,"116.258245,39.856699",50118,餐饮服务;中餐厅;特色/地方风味餐厅
150,B000A7ZJFK,好特·热温泉酒店,群星路方庄芳星园二区12号,"116.435128,39.862988",100103|050000,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
151,B0G3ACFMKN,肯德基(公主坟店),复兴路甲23号城乡购物中心F1,"116.308025,39.908855",50301,餐饮服务;快餐厅;肯德基
152,B000A727A9,北京新世纪日航饭店,首都体育馆南路6号,"116.327838,39.937156",100102|050000,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
153,B000A227F0,外国专家大厦,北四环中路华严北里8号院,"116.381849,39.986976",100103|050000,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
154,B000A9JL7I,林间小溪肉饼,牛富路14号耿丹大学东门对面北100米,"116.655439,40.218338",50100,餐饮服务;中餐厅;中餐厅
155,B0FFIJXM5Z,梧桐小院,月坛南营房1-37宅甲4号,"116.349397,39.919850",50400,餐饮服务;休闲餐饮场所;休闲餐饮场所
156,B0FFGCWZ79,马明鱼窝棚(黄鹅路店),黄鹅路建筑大学北门对面,"116.285000,39.752911",50113,餐饮服务;中餐厅;东北菜
157,B0FFFAEON5,优尔自助烤肉(平谷店),金乡路甲1号(丝云酒店对面),"117.110927,40.149788",50118,餐饮服务;中餐厅;特色/地方风味餐厅
158,B000A8620N,鲟香来绿色生态园(怀柔店),开放路劳动大厦东100米,"116.647825,40.340933",50100,餐饮服务;中餐厅;中餐厅
159,B000A85ZW0,青云酒店(张辛村西街店),李桥镇张辛庄通顺路岩海洗浴旁,"116.677022,40.018006",50101,餐饮服务;中餐厅;综合酒楼
160,B000A84HKF,甲乙丙丁港式茶餐厅(荣祥广场店),顺义天竺开发区荣祥广场900号(新国展),"116.547844,40.062357",50305,餐饮服务;快餐厅;茶餐厅
161,B000A80TJH,龙顺园麻辣香锅(机场总店),首都机场南路2号(近金客隆),"116.595299,40.048035",50117,餐饮服务;中餐厅;火锅店
162,B000A80O07,北京双井轩海鲜饺子食府(双井店),广渠门外大街5号院4号楼,"116.455509,39.893975",50118,餐饮服务;中餐厅;特色/地方风味餐厅
163,B000A7S6SE,新川办餐厅,小红门路312号北京四川五粮液龙爪树宾馆,"116.455012,39.850094",50102,餐饮服务;中餐厅;四川菜(川菜)
164,B000A7BMNK,避风茶馆(方庄总店),方庄芳古园一区29号楼三层,"116.424223,39.865996",50600,餐饮服务;茶艺馆;茶艺馆
165,B000A81BH2,阿森鲍鱼(亚运村店),科荟路与北苑路交叉口亚运村大屯里A区1号(紫玉山庄对面),"116.415951,40.008987",50119,餐饮服务;中餐厅;海鲜酒楼
166,B000A9PNXY,大鹅岛灶台鱼,朝凤庵村水库路292号(军都旅游度假村西侧),"116.263341,40.238278",50119,餐饮服务;中餐厅;海鲜酒楼
167,B000A8XDH2,如鱼得水(机场店),首都机场生活区小天竺一街甲2号楼,"116.589995,40.041993",50100,餐饮服务;中餐厅;中餐厅
168,B000A8VWPV,枫林小馆,青龙湖镇小苑上村150号天湖国际会议酒店A区B3层,"116.064990,39.783739",50100,餐饮服务;中餐厅;中餐厅
